,cluster,label,# communities,# onto,frames,synsets,framesynset triplets,adj/adv w/o frame,noun/verb w/o frame,communities,docs
24,24,Sending - Causation,9,5,"frame:Sending: 11
frame:Causation: 11
frame:People: 3
frame:Emotion_directed: 3
frame:Organization: 2
frame:Intentionally_act: 1
frame:Aggregate: 1
frame:Purpose: 1
frame:Identicality: 1
frame:Request: 1
frame:Assistance: 1
frame:Project: 1
","wn30:synset-send-verb-1: 11
wn30:synset-electronic_mail-noun-1: 4
wn30:synset-by-adverb-1: 4
wn30:synset-writer-noun-1: 4
wn30:synset-contact-noun-1: 4
wn30:synset-paper-noun-1: 4
wn30:synset-person-noun-1: 3
wn30:synset-concerned-adjective-1: 3
wn30:synset-human-adjective-1: 2
wn30:synset-committee-noun-1: 1
wn30:synset-registration-noun-1: 1
wn30:synset-delegate-verb-1: 1
wn30:synset-activity-noun-1: 1
wn30:synset-alternate-verb-1: 1
wn30:synset-help-verb-1: 1
wn30:synset-review-verb-1: 1
wn30:synset-plan-noun-1: 1
wn30:synset-user-noun-1: 1
wn30:synset-request-verb-1: 1
wn30:synset-group-noun-1: 1
wn30:synset-form-noun-1: 1
wn30:synset-chair-noun-1: 1
wn30:synset-administrator-noun-1: 1
wn30:synset-presentment-noun-1: 1
wn30:synset-be-verb-2: 1
","wn30:synset-send-verb-1 - frame:Sending: 11
wn30:synset-send-verb-1 - frame:Causation - frame:Event: 11
wn30:synset-person-noun-1 - frame:People - frame:Entity: 3
wn30:synset-concerned-adjective-1 - frame:Emotion_directed: 3
wn30:synset-plan-noun-1 - frame:Purpose: 1
wn30:synset-help-verb-1 - frame:Assistance - frame:Event: 1
wn30:synset-request-verb-1 - frame:Request - frame:Request: 1
wn30:synset-committee-noun-1 - frame:Organization - frame:Aggregate: 1
wn30:synset-activity-noun-1 - frame:Intentionally_act - frame:Event: 1
wn30:synset-group-noun-1 - frame:Organization - frame:Aggregate: 1
wn30:synset-be-verb-2 - frame:Identicality - frame:Relation: 1
wn30:synset-group-noun-1 - frame:Aggregate: 1
wn30:synset-plan-noun-1 - frame:Project: 1
","wn30:synset-by-adverb-1: 4
wn30:synset-human-adjective-1: 2
","wn30:synset-paper-noun-1: 4
wn30:synset-electronic_mail-noun-1: 4
wn30:synset-contact-noun-1: 4
wn30:synset-writer-noun-1: 4
wn30:synset-delegate-verb-1: 1
wn30:synset-chair-noun-1: 1
wn30:synset-administrator-noun-1: 1
wn30:synset-alternate-verb-1: 1
wn30:synset-review-verb-1: 1
wn30:synset-presentment-noun-1: 1
wn30:synset-registration-noun-1: 1
wn30:synset-user-noun-1: 1
wn30:synset-form-noun-1: 1
","inferred_OpenConf7
inferred_OpenConf8
inferred_Cocus-21
inferred_Cocus-215
inferred_confious-236
inferred_confious-246
inferred_confious-243
inferred_PCS1
inferred_iasted8
","Contact Author Alternate Email has been sent by Submitted Paper
Contact Author has sent Submitted Paper
send sent by Activity Person
User Help Request send
group email human is sent to concerned reviewing proces
has author paper Program Committee Chair Contact Person is concerned notification email sent to
has author paper is of human concerned Contact Person
Email sended by Administrator send
send Delegate Registration form is sent by"
25,25,synset-registration-noun-1 - synset-fee-noun-1,5,2,"frame:Negation: 4
frame:Commerce_pay: 3
frame:Coming_up_with: 2
frame:Membership: 1
frame:Commerce_scenario: 1
frame:Employing: 1
","wn30:synset-registration-noun-1: 5
wn30:synset-fee-noun-1: 5
wn30:synset-not-adverb-1: 4
wn30:synset-speaker-noun-1: 3
wn30:synset-pay-verb-1: 3
wn30:synset-plan-verb-3: 2
wn30:synset-monetary_value-noun-1: 1
wn30:synset-student-noun-1: 1
wn30:synset-member-noun-1: 1
wn30:synset-nonmember-noun-1: 1
wn30:synset-worker-noun-1: 1
","wn30:synset-not-adverb-1 - frame:Negation - frame:Alternativity: 4
wn30:synset-pay-verb-1 - frame:Commerce_pay - frame:Event: 3
wn30:synset-plan-verb-3 - frame:Coming_up_with: 2
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included: 1
wn30:synset-monetary_value-noun-1 - frame:Commerce_scenario: 1
wn30:synset-worker-noun-1 - frame:Employing: 1
","
","wn30:synset-registration-noun-1: 5
wn30:synset-fee-noun-1: 5
wn30:synset-speaker-noun-1: 3
wn30:synset-student-noun-1: 1
wn30:synset-nonmember-noun-1: 1
","inferred_sigkdd2
inferred_iasted77
inferred_iasted76
inferred_iasted66
inferred_iasted67
","Price Registration fee
Student registration fee pay non speaker
is designed for pay Nonmember registration fee IASTED non member
Nonauthor registration fee is designed for Non speaker
Worker non speaker Nonauthor registration fee pay"
26,26,Topic,4,1,"frame:Topic: 4
frame:Purpose: 1
frame:Using: 1
","wn30:synset-in-adverb-1: 4
wn30:synset-involve-verb-1: 4
wn30:synset-function-noun-3: 4
wn30:synset-moderator-noun-4: 1
wn30:synset-application-noun-1: 1
wn30:synset-panelist-noun-1: 1
wn30:synset-review-verb-1: 1
wn30:synset-paper-noun-1: 1
wn30:synset-panel-noun-4: 1
wn30:synset-writer-noun-1: 1
wn30:synset-applicant-noun-1: 1
","wn30:synset-involve-verb-1 - frame:Topic: 4
wn30:synset-application-noun-1 - frame:Using - frame:Event: 1
wn30:synset-application-noun-1 - frame:Purpose: 1
","wn30:synset-in-adverb-1: 4
","wn30:synset-function-noun-3: 4
wn30:synset-moderator-noun-4: 1
wn30:synset-panelist-noun-1: 1
wn30:synset-review-verb-1: 1
wn30:synset-paper-noun-1: 1
wn30:synset-panel-noun-4: 1
wn30:synset-writer-noun-1: 1
wn30:synset-applicant-noun-1: 1
","inferred_linklings18
inferred_linklings9
inferred_linklings23
inferred_linklings24
","has Role Involved Panel is In Moderator Panelist
has Role Involved is In reviews
Applicant Application is Role Involved In has
Paper Author is Role Involved In has"
27,27,Frequency - Speed,5,3,"frame:Frequency: 6
frame:Speed: 6
frame:Reading: 1
frame:Statement: 1
frame:Appointing: 1
frame:Text_creation: 1
frame:Respond_to_proposal: 1
frame:Agree_or_refuse_to_act: 1
frame:Documents: 1
frame:Assessing: 1
","wn30:synset-rate-noun-1: 6
wn30:synset-paper-noun-1: 4
wn30:synset-review-verb-1: 4
wn30:synset-by-adverb-1: 3
wn30:synset-chair-noun-1: 2
wn30:synset-reviewer-noun-1: 2
wn30:synset-accepted-adjectivesatellite-1: 2
wn30:synset-external-adjective-1: 1
wn30:synset-evaluation-noun-2: 1
wn30:synset-write-verb-1: 1
wn30:synset-document-noun-1: 1
wn30:synset-session-noun-1: 1
wn30:synset-read-verb-1: 1
wn30:synset-refuse-verb-2: 1
wn30:synset-delegate-verb-2: 1
","wn30:synset-rate-noun-1 - frame:Speed - frame:Attributes: 6
wn30:synset-rate-noun-1 - frame:Frequency - frame:Attributes: 6
wn30:synset-read-verb-1 - frame:Reading - frame:Scrutinyframe:Reading_activity: 1
wn30:synset-document-noun-1 - frame:Documents - frame:Entity: 1
wn30:synset-refuse-verb-2 - frame:Agree_or_refuse_to_act - frame:Respond_to_proposal: 1
wn30:synset-write-verb-1 - frame:Text_creation - frame:Event: 1
wn30:synset-evaluation-noun-2 - frame:Assessing - frame:Cogitation: 1
wn30:synset-refuse-verb-2 - frame:Respond_to_proposal: 1
wn30:synset-write-verb-1 - frame:Statement: 1
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event: 1
","wn30:synset-by-adverb-1: 3
wn30:synset-accepted-adjectivesatellite-1: 2
wn30:synset-external-adjective-1: 1
","wn30:synset-review-verb-1: 4
wn30:synset-paper-noun-1: 4
wn30:synset-chair-noun-1: 2
wn30:synset-reviewer-noun-1: 2
wn30:synset-session-noun-1: 1
","inferred_PCS6
inferred_edas16
inferred_MyReview-222
inferred_MyReview-220
inferred_MyReview-215
","read paper rate Accepted External Reviewer
Review Rating has Rated Papers
Review Rejected Paper is Rated By Chair
Review is Rated By rates Writen write Paper Reviewer
has Assigned Paper Review is Rated By Accepted Chair Session To"
28,28,Respond_to_proposal,7,5,"frame:Respond_to_proposal: 17
frame:Agree_or_refuse_to_act: 9
frame:Receiving: 8
frame:Statement: 2
frame:Appointing: 2
frame:Text_creation: 2
frame:Purpose: 2
frame:Project: 2
frame:Membership: 1
frame:Submitting_documents: 1
frame:Hostile_encounter: 1
frame:Emotion_directed: 1
frame:Organization: 1
frame:Discussion: 1
","wn30:synset-refuse-verb-2: 9
wn30:synset-paper-noun-1: 8
wn30:synset-accept-verb-2: 8
wn30:synset-by-adverb-1: 4
wn30:synset-chair-noun-1: 3
wn30:synset-write-verb-1: 2
wn30:synset-review-verb-1: 2
wn30:synset-offer-verb-7: 2
wn30:synset-plan-noun-1: 2
wn30:synset-delegate-verb-2: 2
wn30:synset-reviewer-noun-1: 2
wn30:synset-committee-noun-1: 1
wn30:synset-member-noun-1: 1
wn30:synset-rejection-noun-1: 1
wn30:synset-electronic_mail-noun-1: 1
wn30:synset-session-noun-1: 1
wn30:synset-writer-noun-1: 1
wn30:synset-conference-noun-1: 1
wn30:synset-in-adverb-1: 1
wn30:synset-conflict-noun-1: 1
wn30:synset-accepted-adjectivesatellite-1: 1
wn30:synset-concerned-adjective-1: 1
wn30:synset-submit-verb-1: 1
wn30:synset-administrator-noun-1: 1
wn30:synset-presentment-noun-1: 1
","wn30:synset-refuse-verb-2 - frame:Respond_to_proposal: 9
wn30:synset-refuse-verb-2 - frame:Agree_or_refuse_to_act - frame:Respond_to_proposal: 9
wn30:synset-accept-verb-2 - frame:Respond_to_proposal: 8
wn30:synset-accept-verb-2 - frame:Receiving - frame:Event: 8
wn30:synset-plan-noun-1 - frame:Purpose: 2
wn30:synset-write-verb-1 - frame:Text_creation - frame:Event: 2
wn30:synset-plan-noun-1 - frame:Project: 2
wn30:synset-write-verb-1 - frame:Statement: 2
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event: 2
wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event: 1
wn30:synset-concerned-adjective-1 - frame:Emotion_directed: 1
wn30:synset-committee-noun-1 - frame:Organization - frame:Aggregate: 1
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included: 1
wn30:synset-conflict-noun-1 - frame:Hostile_encounter - frame:Event: 1
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 1
","wn30:synset-by-adverb-1: 4
wn30:synset-in-adverb-1: 1
wn30:synset-accepted-adjectivesatellite-1: 1
","wn30:synset-paper-noun-1: 8
wn30:synset-chair-noun-1: 3
wn30:synset-review-verb-1: 2
wn30:synset-offer-verb-7: 2
wn30:synset-reviewer-noun-1: 2
wn30:synset-administrator-noun-1: 1
wn30:synset-session-noun-1: 1
wn30:synset-presentment-noun-1: 1
wn30:synset-rejection-noun-1: 1
wn30:synset-writer-noun-1: 1
wn30:synset-electronic_mail-noun-1: 1
","inferred_paperdyne9
inferred_paperdyne2
inferred_confious-251
inferred_cmt-222
inferred_cmt-26
inferred_PCS16
inferred_MyReview-223
","Program Comitee Chair accepts assigned Paper By accepted Reviewer rejected assigns To Review
Program Comitee Chair rejects Paper reviews Reviewer bids For is In Conflict With
Rejected Paper rejection notification email is concerned paper
Conference accepts Hardcopy Submissions
Paper Administrator accepted By Bid accept rejected reject has
written paper by submit reject accepted rejected write Author Paper accept Committee Member
is Chair Of accepts rejects Rejected By Paper Session Accepted"
29,29,Submitting_documents,10,6,"frame:Submitting_documents: 16
frame:Intentionally_act: 2
frame:Statement: 1
frame:Referring_by_name: 1
frame:Text_creation: 1
frame:Compatibility: 1
frame:Simple_naming: 1
frame:Being_named: 1
frame:Documents: 1
frame:Labeling: 1
","wn30:synset-submit-verb-1: 9
wn30:synset-submission-noun-1: 7
wn30:synset-by-adverb-1: 6
wn30:synset-paper-noun-1: 5
wn30:synset-deadline-noun-1: 5
wn30:synset-writer-noun-1: 5
wn30:synset-abstract-adjective-1: 3
wn30:synset-activity-noun-1: 2
wn30:synset-speaker-noun-1: 2
wn30:synset-form-noun-1: 2
wn30:synset-presentation-noun-1: 2
wn30:synset-write-verb-1: 1
wn30:synset-document-noun-1: 1
wn30:synset-direction-noun-6: 1
wn30:synset-match-verb-1: 1
wn30:synset-electronic_mail-noun-1: 1
wn30:synset-contact-noun-1: 1
wn30:synset-name-verb-1: 1
","wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event: 9
wn30:synset-submission-noun-1 - frame:Submitting_documents - frame:Event: 7
wn30:synset-activity-noun-1 - frame:Intentionally_act - frame:Event: 2
wn30:synset-name-verb-1 - frame:Simple_naming: 1
wn30:synset-name-verb-1 - frame:Being_named: 1
wn30:synset-name-verb-1 - frame:Labeling - frame:Referring_by_name: 1
wn30:synset-document-noun-1 - frame:Documents - frame:Entity: 1
wn30:synset-write-verb-1 - frame:Text_creation - frame:Event: 1
wn30:synset-name-verb-1 - frame:Referring_by_name: 1
wn30:synset-match-verb-1 - frame:Compatibility - frame:Attributes: 1
wn30:synset-write-verb-1 - frame:Statement: 1
","wn30:synset-by-adverb-1: 6
wn30:synset-abstract-adjective-1: 3
","wn30:synset-paper-noun-1: 5
wn30:synset-deadline-noun-1: 5
wn30:synset-writer-noun-1: 5
wn30:synset-speaker-noun-1: 2
wn30:synset-form-noun-1: 2
wn30:synset-presentation-noun-1: 2
wn30:synset-electronic_mail-noun-1: 1
wn30:synset-contact-noun-1: 1
wn30:synset-direction-noun-6: 1
","inferred_Cocus-222
inferred_sigkdd15
inferred_sigkdd11
inferred_sigkdd18
inferred_MICRO11
inferred_MICRO10
inferred_edas14
inferred_MyReview-229
inferred_MyReview-23
inferred_iasted32
","Paper submited by Corresponding Author
Speaker Deadline presentationed by Document submit until presentation
Paper Deadline Submission submit until Author
submit until Deadline Abstract Submission
submission Deadline Activity Submission Form
Activity Submission Form Author is Submitted By Of has
has Submission Deadline Call Instructions
Paper Abstract Contact Author has submits Email abstract Is Submitted By is Of
Author paper Is Submitted By submits Paper write
Speaker is writen by Submission"
30,30,synset-award-noun-1,4,1,"frame:Getting: 1
frame:Purpose: 1
frame:Using: 1
frame:Research: 1
","wn30:synset-award-noun-1: 8
wn30:synset-paper-noun-1: 4
wn30:synset-writer-noun-1: 3
wn30:synset-student-noun-1: 2
wn30:synset-best-adjective-1: 2
wn30:synset-application-noun-1: 1
wn30:synset-research-noun-1: 1
wn30:synset-presentment-noun-1: 1
wn30:synset-by-adverb-1: 1
wn30:synset-obtain-verb-1: 1
wn30:synset-deadline-noun-1: 1
","wn30:synset-application-noun-1 - frame:Purpose: 1
wn30:synset-research-noun-1 - frame:Research - frame:Scrutiny: 1
wn30:synset-application-noun-1 - frame:Using - frame:Event: 1
wn30:synset-obtain-verb-1 - frame:Getting - frame:Event: 1
","wn30:synset-best-adjective-1: 2
wn30:synset-by-adverb-1: 1
","wn30:synset-award-noun-1: 8
wn30:synset-paper-noun-1: 4
wn30:synset-writer-noun-1: 3
wn30:synset-student-noun-1: 2
wn30:synset-presentment-noun-1: 1
wn30:synset-deadline-noun-1: 1
","inferred_sigkdd10
inferred_sigkdd14
inferred_sigkdd17
inferred_sigkdd16
","Deadline Author notification obtain Award until
award Award Organizator awarded by
Author of paper student award Best Student Paper Award
Best Research Paper Award award Applications Author of paper"
31,31,Event - Locale,5,3,"frame:Event: 4
frame:Locale: 4
frame:Social_interaction_evaluation: 2
frame:Being_employed: 1
frame:Activity_ongoing: 1
frame:Cause_to_continue: 1
frame:Choosing: 1
","wn30:synset-event-noun-1: 4
wn30:synset-location-noun-1: 4
wn30:synset-title-noun-1: 3
wn30:synset-social-adjective-1: 2
wn30:synset-choice-noun-1: 1
wn30:synset-in-adverb-1: 1
wn30:synset-paper-noun-1: 1
wn30:synset-keep-verb-1: 1
wn30:synset-work-noun-1: 1
wn30:synset-working-adjectivesatellite-1: 1
wn30:synset-default-noun-1: 1
","wn30:synset-location-noun-1 - frame:Locale - frame:Locale: 4
wn30:synset-event-noun-1 - frame:Event - frame:State: 4
wn30:synset-social-adjective-1 - frame:Social_interaction_evaluation - frame:Attributes: 2
wn30:synset-choice-noun-1 - frame:Choosing - frame:Eventframe:Deciding: 1
wn30:synset-keep-verb-1 - frame:Activity_ongoing - frame:Process_continue: 1
wn30:synset-keep-verb-1 - frame:Cause_to_continue - frame:Event: 1
wn30:synset-work-noun-1 - frame:Being_employed: 1
","wn30:synset-in-adverb-1: 1
wn30:synset-working-adjectivesatellite-1: 1
","wn30:synset-title-noun-1: 3
wn30:synset-default-noun-1: 1
wn30:synset-paper-noun-1: 1
","inferred_OpenConf15
inferred_confOf7
inferred_confOf6
inferred_confOf4
inferred_ekaw15
","Title Paper Keywords
location has title Working event
default Choice Social event Working
Social event location has title
location Of held In Event Location"
32,32,Commerce_pay,7,2,"frame:Commerce_pay: 11
frame:People: 3
frame:Coming_up_with: 1
frame:Money: 1
frame:Membership: 1
frame:People_by_vocation: 1
frame:Amounting_to: 1
frame:Buildings: 1
","wn30:synset-pay-verb-1: 10
wn30:synset-fee-noun-1: 5
wn30:synset-registration-noun-1: 4
wn30:synset-by-adverb-1: 4
wn30:synset-person-noun-1: 2
wn30:synset-compact_disk-noun-1: 2
wn30:synset-member-noun-1: 1
wn30:synset-attendant-noun-2: 1
wn30:synset-sum-noun-1: 1
wn30:synset-delegate-verb-1: 1
wn30:synset-writer-noun-1: 1
wn30:synset-currency-noun-1: 1
wn30:synset-yield-verb-1: 1
wn30:synset-in-adverb-1: 1
wn30:synset-money-noun-1: 1
wn30:synset-item-noun-1: 1
wn30:synset-plan-verb-3: 1
wn30:synset-building-noun-1: 1
wn30:synset-sponsor-verb-1: 1
","wn30:synset-pay-verb-1 - frame:Commerce_pay - frame:Event: 10
wn30:synset-person-noun-1 - frame:People - frame:Entity: 2
wn30:synset-money-noun-1 - frame:Commerce_pay - frame:Event: 1
wn30:synset-money-noun-1 - frame:Money - frame:Entity: 1
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included: 1
wn30:synset-plan-verb-3 - frame:Coming_up_with: 1
wn30:synset-attendant-noun-2 - frame:People_by_vocation - frame:Entity: 1
wn30:synset-sum-noun-1 - frame:Amounting_to: 1
wn30:synset-building-noun-1 - frame:Buildings - frame:Entity: 1
","wn30:synset-by-adverb-1: 4
wn30:synset-in-adverb-1: 1
","wn30:synset-fee-noun-1: 5
wn30:synset-registration-noun-1: 4
wn30:synset-compact_disk-noun-1: 2
wn30:synset-delegate-verb-1: 1
wn30:synset-item-noun-1: 1
wn30:synset-writer-noun-1: 1
wn30:synset-currency-noun-1: 1
wn30:synset-sponsor-verb-1: 1
wn30:synset-yield-verb-1: 1
","inferred_sigkdd1
inferred_sigkdd9
inferred_iasted38
inferred_iasted22
inferred_iasted68
inferred_iasted74
inferred_iasted2
","payed by Registration fee Currency Person pay
Sponzor fee pay
Sponsor is paid by give Sponzorship
Money pay Person has amount of Building is paid with in Item by
Author attendee cd registration fee is paid for Cd proceening
IASTED member pay Memeber registration fee is designed for
is paid by Delegate pay Registration fee"
33,33,Discussion,8,2,"frame:Discussion: 8
frame:Gizmo: 7
frame:Placing: 7
frame:Causation: 7
frame:Emotion_directed: 2
frame:Subordinates_and_superiors: 1
frame:People: 1
","wn30:synset-conference-noun-1: 8
wn30:synset-put-verb-1: 7
wn30:synset-apparatus-noun-1: 7
wn30:synset-URL-noun-1: 6
wn30:synset-date-noun-1: 2
wn30:synset-reviewer-noun-1: 2
wn30:synset-concerned-adjective-1: 2
wn30:synset-regular-adjective-1: 1
wn30:synset-senior-adjective-1: 1
wn30:synset-chair-noun-1: 1
wn30:synset-angstrom-noun-1: 1
wn30:synset-presentment-noun-1: 1
wn30:synset-World_Wide_Web-noun-1: 1
wn30:synset-person-noun-1: 1
wn30:synset-contact-noun-1: 1
","wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 8
wn30:synset-put-verb-1 - frame:Causation - frame:Event: 7
wn30:synset-apparatus-noun-1 - frame:Gizmo: 7
wn30:synset-put-verb-1 - frame:Placing - frame:Event: 7
wn30:synset-concerned-adjective-1 - frame:Emotion_directed: 2
wn30:synset-person-noun-1 - frame:People - frame:Entity: 1
wn30:synset-senior-adjective-1 - frame:Subordinates_and_superiors: 1
","wn30:synset-regular-adjective-1: 1
","wn30:synset-URL-noun-1: 6
wn30:synset-date-noun-1: 2
wn30:synset-reviewer-noun-1: 2
wn30:synset-chair-noun-1: 1
wn30:synset-angstrom-noun-1: 1
wn30:synset-presentment-noun-1: 1
wn30:synset-World_Wide_Web-noun-1: 1
wn30:synset-contact-noun-1: 1
","inferred_conference-221
inferred_confious-221
inferred_confious-24
inferred_confious-25
inferred_confious-26
inferred_confious-23
inferred_confious-222
inferred_confious-22
","Conference www has a URL
URL conference setup sets is concerned confernce
conference setup sets RPC URL Regular Reviewer
conference setup Senior Reviewer URL sets SPC
sets date of notification conference setup
conference setup Contact Person URL sets CP
is concerned confernce setup conference sets date
conference setup sets Chair URL"
34,34,Purpose - Project,4,2,"frame:Purpose: 3
frame:Project: 3
frame:Discussion: 2
frame:Participation: 1
frame:Submitting_documents: 1
","wn30:synset-session-noun-1: 3
wn30:synset-plan-noun-1: 3
wn30:synset-conference-noun-1: 2
wn30:synset-assigned-adjective-1: 1
wn30:synset-participant-noun-1: 1
wn30:synset-submit-verb-1: 1
wn30:synset-chair-noun-1: 1
","wn30:synset-plan-noun-1 - frame:Purpose: 3
wn30:synset-plan-noun-1 - frame:Project: 3
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 2
wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event: 1
wn30:synset-participant-noun-1 - frame:Participation: 1
","wn30:synset-assigned-adjective-1: 1
","wn30:synset-session-noun-1: 3
wn30:synset-chair-noun-1: 1
","inferred_linklings22
inferred_linklings5
inferred_crs_dr5
inferred_crs_dr7
","has Session Chair Program Assigned Conference
Session has
program has session
participant conference has program submits to"
35,35,Becoming_aware - Recording - People,3,2,"frame:Becoming_aware: 3
frame:Recording: 3
frame:People: 3
frame:Being_necessary: 1
frame:Appointing: 1
frame:Individual_history: 1
frame:Text: 1
frame:Out_of_existence: 1
frame:History: 1
","wn30:synset-person-noun-1: 3
wn30:synset-register-verb-1: 3
wn30:synset-function-noun-3: 2
wn30:synset-assigned-adjective-1: 1
wn30:synset-registered-adjective-2: 1
wn30:synset-administrator-noun-1: 1
wn30:synset-basic-adjective-1: 1
wn30:synset-by-adverb-1: 1
wn30:synset-history-noun-2: 1
wn30:synset-self-noun-1: 1
wn30:synset-user-noun-1: 1
wn30:synset-delegate-verb-2: 1
","wn30:synset-register-verb-1 - frame:Recording - frame:Statement: 3
wn30:synset-person-noun-1 - frame:People - frame:Entity: 3
wn30:synset-register-verb-1 - frame:Becoming_aware - frame:Perception: 3
wn30:synset-basic-adjective-1 - frame:Being_necessary: 1
wn30:synset-history-noun-2 - frame:History - frame:Individual_history: 1
wn30:synset-history-noun-2 - frame:Individual_history: 1
wn30:synset-history-noun-2 - frame:Text - frame:Entity: 1
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event: 1
wn30:synset-history-noun-2 - frame:Out_of_existence: 1
","wn30:synset-by-adverb-1: 1
wn30:synset-registered-adjective-2: 1
wn30:synset-assigned-adjective-1: 1
","wn30:synset-function-noun-3: 2
wn30:synset-self-noun-1: 1
wn30:synset-administrator-noun-1: 1
wn30:synset-user-noun-1: 1
","inferred_Cocus-22
inferred_linklings10
inferred_linklings25
","Account registred by Person register
Administrator registers has Person Assigned Admin Registered Role
Basic User has Person Assigned Role Self Registered"
36,36,synset-busy-verb-1,3,1,"frame:Buildings: 3
frame:Businesses: 3
frame:Political_locales: 2
frame:Locale_by_use: 1
","wn30:synset-busy-verb-1: 5
wn30:synset-company-noun-1: 3
wn30:synset-house-noun-1: 3
wn30:synset-sponsor-verb-1: 3
wn30:synset-in-adverb-1: 2
wn30:synset-situate-verb-1: 2
wn30:synset-by-adverb-1: 2
wn30:synset-state-noun-1: 1
wn30:synset-city-noun-1: 1
","wn30:synset-house-noun-1 - frame:Buildings - frame:Entity: 3
wn30:synset-company-noun-1 - frame:Businesses: 3
wn30:synset-state-noun-1 - frame:Political_locales - frame:Locale: 1
wn30:synset-city-noun-1 - frame:Political_locales - frame:Locale: 1
wn30:synset-city-noun-1 - frame:Locale_by_use - frame:Locale: 1
","wn30:synset-by-adverb-1: 2
wn30:synset-in-adverb-1: 2
","wn30:synset-busy-verb-1: 5
wn30:synset-sponsor-verb-1: 3
wn30:synset-situate-verb-1: 2
","inferred_iasted39
inferred_iasted40
inferred_iasted37
","Sponsor occupy company house is occupied by
is situated in Sponsor state company house occupy
Sponsor city is occupied by company house situated in occupy"
37,37,Execution,4,2,"frame:Execution: 4
frame:Objective_influence: 3
frame:Causation: 3
frame:Being_in_effect: 3
frame:Event: 2
frame:Intentionally_create: 1
","wn30:synset-execute-verb-1: 4
wn30:synset-consequence-noun-1: 3
wn30:synset-event-noun-1: 2
wn30:synset-administrator-noun-1: 1
wn30:synset-review-verb-1: 1
wn30:synset-by-adverb-1: 1
wn30:synset-blind-adjective-1: 1
wn30:synset-reviewer-noun-1: 1
wn30:synset-registration-noun-1: 1
wn30:synset-blessing-noun-1: 1
wn30:synset-writer-noun-1: 1
wn30:synset-user-noun-1: 1
wn30:synset-electronic_mail-noun-1: 1
wn30:synset-creation-noun-1: 1
wn30:synset-double-noun-1: 1
","wn30:synset-execute-verb-1 - frame:Execution - frame:Event: 4
wn30:synset-consequence-noun-1 - frame:Causation - frame:Event: 3
wn30:synset-consequence-noun-1 - frame:Objective_influence - frame:Event: 3
wn30:synset-consequence-noun-1 - frame:Being_in_effect: 3
wn30:synset-event-noun-1 - frame:Event - frame:State: 2
wn30:synset-creation-noun-1 - frame:Intentionally_create - frame:Event: 1
","wn30:synset-by-adverb-1: 1
wn30:synset-blind-adjective-1: 1
","wn30:synset-administrator-noun-1: 1
wn30:synset-review-verb-1: 1
wn30:synset-reviewer-noun-1: 1
wn30:synset-registration-noun-1: 1
wn30:synset-blessing-noun-1: 1
wn30:synset-writer-noun-1: 1
wn30:synset-user-noun-1: 1
wn30:synset-electronic_mail-noun-1: 1
wn30:synset-double-noun-1: 1
","inferred_Cocus-218
inferred_Cocus-221
inferred_Cocus-216
inferred_MICRO9
","execute Event Approval Email Administrator has result
execute Event Creation has result Author
User has result Registration
Reviewer Double Blind Review executes is Executed By"
38,38,Event,3,2,"frame:Event: 5
frame:Event_instance: 3
frame:Timespan: 3
frame:Location_in_time: 3
frame:Discussion: 1
frame:Setting_out: 1
frame:Process_start: 1
frame:Process_end: 1
frame:Activity_start: 1
","wn30:synset-time-noun-1: 3
wn30:synset-interval-noun-2: 2
wn30:synset-event-noun-1: 2
wn30:synset-date-noun-1: 1
wn30:synset-end-verb-1: 1
wn30:synset-conference-noun-1: 1
wn30:synset-get_down-verb-7: 1
","wn30:synset-time-noun-1 - frame:Timespan: 3
wn30:synset-time-noun-1 - frame:Event_instance - frame:Instance: 3
wn30:synset-time-noun-1 - frame:Location_in_time: 3
wn30:synset-event-noun-1 - frame:Event - frame:State: 2
wn30:synset-get_down-verb-7 - frame:Process_start - frame:Event: 1
wn30:synset-get_down-verb-7 - frame:Setting_out - frame:Event: 1
wn30:synset-get_down-verb-7 - frame:Activity_start - frame:Event: 1
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 1
wn30:synset-end-verb-1 - frame:Process_end - frame:Event: 1
","
","wn30:synset-interval-noun-2: 2
wn30:synset-date-noun-1: 1
","inferred_linklings21
inferred_linklings20
inferred_edas7
","Time Interval has
Time Interval Event has
has Start Date Time End Conference Event"
