,cluster,label,docs,# communities,# onto,frequent frames,frequent synsets,frequent framesynset triplets,frequent adj/adv w/o frame,frequent noun/verb w/o frame,communities,docss
23,23,synset-paper-noun-1,"is concerned paper reviewing proces
Rejected Paper rejection notification email is concerned paper
is concerned paper Accepted Paper acceptance notification email
abstract of paper is concerned
Undecided Paper goes through is concerned paper assignment submission process reviewing proces
has author paper is of human concerned Contact Person",6,1,"frame:Emotion_directed: 6
frame:Respond_to_proposal: 2
","wn30:synset-paper-noun-1: 9
wn30:synset-concerned-adjective-1: 6
wn30:synset-electronic_mail-noun-1: 2
wn30:synset-presentment-noun-1: 2
wn30:synset-review-verb-1: 2
","wn30:synset-concerned-adjective-1 - frame:Emotion_directed: 6
","wn30:synset-abstract-adjective-1: 1
wn30:synset-on_the_fence-adjectivesatellite-1: 1
wn30:synset-accepted-adjectivesatellite-1: 1
wn30:synset-human-adjective-1: 1
wn30:synset-through-adverb-1: 1
","wn30:synset-paper-noun-1: 9
","inferred_confious-237
inferred_confious-251
inferred_confious-252
inferred_confious-247
inferred_confious-238
inferred_confious-243
","is concerned paper reviewing proces
Rejected Paper rejection notification email is concerned paper
is concerned paper Accepted Paper acceptance notification email
abstract of paper is concerned
Undecided Paper goes through is concerned paper assignment submission process reviewing proces
has author paper is of human concerned Contact Person"
24,24,synset-reviewer-noun-1,"Paper Meta- Reviewer read By
reviewer Of Paper Possible Reviewer
has Review Possible Reviewer review Written By Of Paper
Possible Reviewer has Paper
Possible Reviewer Assigned Paper has",5,2,"frame:Possibility: 4
","wn30:synset-reviewer-noun-1: 6
wn30:synset-paper-noun-1: 5
wn30:synset-possible-adjective-1: 4
","wn30:synset-possible-adjective-1 - frame:Possibility: 4
","wn30:synset-by-adverb-1: 2
","wn30:synset-reviewer-noun-1: 6
wn30:synset-paper-noun-1: 5
","inferred_cmt-210
inferred_ekaw6
inferred_ekaw7
inferred_ekaw5
inferred_ekaw8
","Paper Meta- Reviewer read By
reviewer Of Paper Possible Reviewer
has Review Possible Reviewer review Written By Of Paper
Possible Reviewer has Paper
Possible Reviewer Assigned Paper has"
25,25,Inclusion - Cause_to_be_included,"is Included Activity Topic has
includes PC Members List Proceedings
cooperates Reviewer External
Index Of Authors includes Proceedings
includes External Reviewers List Proceedings
includes Accepted Paper Proceedings
Cd proceening obtain Author cd proceedings included",7,3,"frame:Inclusion: 6
frame:Cause_to_be_included: 6
","wn30:synset-include-verb-1: 6
wn30:synset-proceeding-noun-1: 5
wn30:synset-list-noun-1: 2
wn30:synset-writer-noun-1: 2
wn30:synset-compact_disk-noun-1: 2
wn30:synset-external-adjective-1: 2
","wn30:synset-include-verb-1 - frame:Cause_to_be_included - frame:Event: 6
wn30:synset-include-verb-1 - frame:Inclusion: 6
","wn30:synset-external-adjective-1: 2
","wn30:synset-proceeding-noun-1: 5
wn30:synset-writer-noun-1: 2
wn30:synset-compact_disk-noun-1: 2
","inferred_MICRO4
inferred_MyReview-228
inferred_MyReview-22
inferred_MyReview-227
inferred_MyReview-226
inferred_MyReview-225
inferred_iasted69
","is Included Activity Topic has
includes PC Members List Proceedings
cooperates Reviewer External
Index Of Authors includes Proceedings
includes External Reviewers List Proceedings
includes Accepted Paper Proceedings
Cd proceening obtain Author cd proceedings included"
26,26,People,Person modified by Detail,1,1,"frame:People: 1
","wn30:synset-detail-noun-1: 1
wn30:synset-by-adverb-1: 1
wn30:synset-person-noun-1: 1
wn30:synset-modify-verb-1: 1
","wn30:synset-person-noun-1 - frame:People - frame:Entity: 1
","wn30:synset-by-adverb-1: 1
","wn30:synset-detail-noun-1: 1
wn30:synset-modify-verb-1: 1
","inferred_Cocus-24
",Person modified by Detail
27,27,Path_traveled - Roadways - Building_subparts,"Workshop has workshops Conference volume
was a track-workshop chair of has track-workshop-tutorial Track-workshop Conference part
has a track-workshop-tutorial topic is topis of conference parts Topic Conference part
has tracks Track Conference volume",4,1,"frame:Path_traveled: 6
frame:Roadways: 6
frame:Building_subparts: 6
frame:Discussion: 5
","wn30:synset-path-noun-4: 6
wn30:synset-workshop-noun-1: 6
wn30:synset-conference-noun-1: 5
","wn30:synset-workshop-noun-1 - frame:Building_subparts: 6
wn30:synset-path-noun-4 - frame:Roadways - frame:Locale: 6
wn30:synset-path-noun-4 - frame:Path_traveled: 6
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 5
","
","wn30:synset-volume-noun-1: 2
wn30:synset-tutorial-noun-1: 2
wn30:synset-angstrom-noun-1: 2
","inferred_conference-28
inferred_conference-229
inferred_conference-230
inferred_conference-26
","Workshop has workshops Conference volume
was a track-workshop chair of has track-workshop-tutorial Track-workshop Conference part
has a track-workshop-tutorial topic is topis of conference parts Topic Conference part
has tracks Track Conference volume"
28,28,synset-update-verb-2,"Document Person author Of has Updated Version updated written By
Accepted Paper Camera Ready updated Version Of",2,1,"frame:Type: 2
","wn30:synset-update-verb-2: 3
wn30:synset-version-noun-2: 2
","wn30:synset-version-noun-2 - frame:Type: 2
","wn30:synset-by-adverb-1: 1
wn30:synset-accepted-adjectivesatellite-1: 1
","wn30:synset-update-verb-2: 3
","inferred_ekaw16
inferred_ekaw11
","Document Person author Of has Updated Version updated written By
Accepted Paper Camera Ready updated Version Of"
29,29,Purpose - Project,"Program chair Conference made by planned papers Planed Paper is in program
has Session Chair Program Assigned Conference
has a program committee Program was of Conference volume
program has session
participant conference has program submits to
Publication Final manuscript is made from",6,5,"frame:Purpose: 8
frame:Project: 8
frame:Discussion: 4
","wn30:synset-plan-noun-1: 8
wn30:synset-conference-noun-1: 4
wn30:synset-chair-noun-1: 2
wn30:synset-make-verb-2: 2
wn30:synset-session-noun-1: 2
","wn30:synset-plan-noun-1 - frame:Purpose: 8
wn30:synset-plan-noun-1 - frame:Project: 8
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 4
","wn30:synset-in-adverb-1: 1
wn30:synset-by-adverb-1: 1
wn30:synset-assigned-adjective-1: 1
","wn30:synset-chair-noun-1: 2
wn30:synset-session-noun-1: 2
","inferred_OpenConf17
inferred_linklings22
inferred_conference-24
inferred_crs_dr5
inferred_crs_dr7
inferred_iasted63
","Program chair Conference made by planned papers Planed Paper is in program
has Session Chair Program Assigned Conference
has a program committee Program was of Conference volume
program has session
participant conference has program submits to
Publication Final manuscript is made from"
30,30,Gizmo - Causation - Membership - Discussion,"is made by conference setup sets member human
conference setup includes topic human Program Committee member has of interest
sets member RPC conference setup is author of performed by Regular Program Committee lower tier reviewing process review
conference setup has author review form is concerned confernce Program Committee member
Program Committee Chair conference setup sets member PCC
is made by conference setup concerned confernce Program Committee Chair sets member PCC
is supervised by conference setup sets member SPC Senior Program Committee supervises activity lower tier reviewing process",7,1,"frame:Gizmo: 7
frame:Causation: 7
frame:Membership: 7
frame:Discussion: 7
frame:Organization: 6
frame:Purpose: 6
frame:Project: 6
frame:Placing: 5
","wn30:synset-conference-noun-1: 7
wn30:synset-member-noun-1: 7
wn30:synset-apparatus-noun-1: 7
wn30:synset-committee-noun-1: 6
wn30:synset-plan-noun-1: 6
wn30:synset-put-verb-1: 5
wn30:synset-by-adverb-1: 4
wn30:synset-review-verb-1: 4
","wn30:synset-apparatus-noun-1 - frame:Gizmo: 7
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 7
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included: 7
wn30:synset-committee-noun-1 - frame:Organization - frame:Aggregate: 6
wn30:synset-plan-noun-1 - frame:Project: 6
wn30:synset-plan-noun-1 - frame:Purpose: 6
wn30:synset-put-verb-1 - frame:Causation - frame:Event: 5
wn30:synset-put-verb-1 - frame:Placing - frame:Event: 5
","wn30:synset-by-adverb-1: 4
","wn30:synset-review-verb-1: 4
","inferred_confious-233
inferred_confious-250
inferred_confious-219
inferred_confious-217
inferred_confious-223
inferred_confious-226
inferred_confious-240
","is made by conference setup sets member human
conference setup includes topic human Program Committee member has of interest
sets member RPC conference setup is author of performed by Regular Program Committee lower tier reviewing process review
conference setup has author review form is concerned confernce Program Committee member
Program Committee Chair conference setup sets member PCC
is made by conference setup concerned confernce Program Committee Chair sets member PCC
is supervised by conference setup sets member SPC Senior Program Committee supervises activity lower tier reviewing process"
31,31,Recording - Becoming_aware,"Account registred by Person register
has Program Assigned is Type Of Content registers Reviewed Registered By Setting For Session Set Submission Status
Administrator registers has Person Assigned Admin Registered Role
has Status is Of Paper",4,3,"frame:Recording: 4
frame:Becoming_aware: 4
frame:Occupy_rank: 2
frame:People: 2
frame:Placing: 2
frame:Causation: 2
","wn30:synset-register-verb-1: 4
wn30:synset-person-noun-1: 2
wn30:synset-status-noun-1: 2
wn30:synset-assigned-adjective-1: 2
wn30:synset-by-adverb-1: 2
wn30:synset-put-verb-1: 2
","wn30:synset-register-verb-1 - frame:Becoming_aware - frame:Perception: 4
wn30:synset-register-verb-1 - frame:Recording - frame:Statement: 4
wn30:synset-person-noun-1 - frame:People - frame:Entity: 2
wn30:synset-put-verb-1 - frame:Placing - frame:Event: 2
wn30:synset-status-noun-1 - frame:Occupy_rank: 2
wn30:synset-put-verb-1 - frame:Causation - frame:Event: 2
","wn30:synset-by-adverb-1: 2
wn30:synset-assigned-adjective-1: 2
","wn30:synset-administrator-noun-1: 1
wn30:synset-paper-noun-1: 1
wn30:synset-review-verb-1: 1
wn30:synset-function-noun-3: 1
wn30:synset-session-noun-1: 1
wn30:synset-content-noun-1: 1
","inferred_Cocus-22
inferred_linklings1
inferred_linklings10
inferred_MyReview-25
","Account registred by Person register
has Program Assigned is Type Of Content registers Reviewed Registered By Setting For Session Set Submission Status
Administrator registers has Person Assigned Admin Registered Role
has Status is Of Paper"
32,32,Placing - Causation,"Role Settings is Set By Administrator sets Setting
sets Setting has Settings
is Set By sets Setting Administrator Submission Feature Settings
Reviewer is Status Set By Submission
has Submission Status sets is Set By
Role Settings has Setting is For
takes Place Location Conference",7,2,"frame:Placing: 13
frame:Causation: 13
","wn30:synset-put-verb-1: 13
wn30:synset-setting-noun-1: 4
wn30:synset-by-adverb-1: 4
wn30:synset-submission-noun-1: 3
","wn30:synset-put-verb-1 - frame:Placing - frame:Event: 13
wn30:synset-put-verb-1 - frame:Causation - frame:Event: 13
","wn30:synset-by-adverb-1: 4
","wn30:synset-setting-noun-1: 4
wn30:synset-administrator-noun-1: 2
wn30:synset-function-noun-3: 2
","inferred_linklings17
inferred_linklings4
inferred_linklings16
inferred_linklings3
inferred_linklings2
inferred_linklings11
inferred_MICRO2
","Role Settings is Set By Administrator sets Setting
sets Setting has Settings
is Set By sets Setting Administrator Submission Feature Settings
Reviewer is Status Set By Submission
has Submission Status sets is Set By
Role Settings has Setting is For
takes Place Location Conference"
33,33,synset-paper-noun-1,"will advocate to by Advocated Paper Advocate
Title Paper Keywords
Paper Id Submitted
Students Paper
Paper paper ID
Paper has Decision
has Title Author Paper ID",7,3,"frame:Attempt_suasion: 2
","wn30:synset-paper-noun-1: 8
wn30:synset-Idaho-noun-1: 3
","wn30:synset-recommend-verb-1 - frame:Attempt_suasion - frame:Event: 2
","wn30:synset-by-adverb-1: 1
","wn30:synset-paper-noun-1: 8
wn30:synset-Idaho-noun-1: 3
","inferred_OpenConf18
inferred_OpenConf15
inferred_OpenConf11
inferred_OpenConf16
inferred_cmt-212
inferred_cmt-29
inferred_MyReview-24
","will advocate to by Advocated Paper Advocate
Title Paper Keywords
Paper Id Submitted
Students Paper
Paper paper ID
Paper has Decision
has Title Author Paper ID"
34,34,synset-busy-verb-1,"scientifically Organises Academic Institution Organised By
Sponsor occupy company house is occupied by
Conference building is situated in Delegate occupied by Session room
is situated in Sponsor state company house occupy
Presenter state is occupied by Delegate occupy
Sponsor city is occupied by company house situated in occupy
is occupied by Delegate situated in occupy Presenter city house
Presenter state is occupied by situated in Delegate occupy house",8,2,"frame:Buildings: 6
frame:Political_locales: 5
frame:Businesses: 4
frame:Giving: 3
","wn30:synset-busy-verb-1: 12
wn30:synset-by-adverb-1: 7
wn30:synset-in-adverb-1: 5
wn30:synset-situate-verb-1: 5
wn30:synset-house-noun-1: 5
wn30:synset-delegate-verb-1: 4
","wn30:synset-house-noun-1 - frame:Buildings - frame:Entity: 5
wn30:synset-donor-noun-1 - frame:Giving - frame:Lose_possession_scenario: 3
wn30:synset-state-noun-1 - frame:Political_locales - frame:Locale: 3
wn30:synset-company-noun-1 - frame:Businesses: 3
","wn30:synset-by-adverb-1: 7
wn30:synset-in-adverb-1: 5
","wn30:synset-busy-verb-1: 12
wn30:synset-situate-verb-1: 5
","inferred_ekaw2
inferred_iasted39
inferred_iasted27
inferred_iasted40
inferred_iasted7
inferred_iasted37
inferred_iasted4
inferred_iasted5
","scientifically Organises Academic Institution Organised By
Sponsor occupy company house is occupied by
Conference building is situated in Delegate occupied by Session room
is situated in Sponsor state company house occupy
Presenter state is occupied by Delegate occupy
Sponsor city is occupied by company house situated in occupy
is occupied by Delegate situated in occupy Presenter city house
Presenter state is occupied by situated in Delegate occupy house"
35,35,Intentionally_act - Organization - Membership - Means - Purpose - Project,"assign paper is followed by Program Committee member Chair human performed assignment lower tier reviewing process
Senior Program Committee member is followed by human performed upper tier reviewing process checked in notification lower",2,1,"frame:Intentionally_act: 2
frame:Organization: 2
frame:Membership: 2
frame:Means: 2
frame:Purpose: 2
frame:Project: 2
","wn30:synset-follow-verb-1: 2
wn30:synset-lower-verb-1: 2
wn30:synset-member-noun-1: 2
wn30:synset-grade-noun-2: 2
wn30:synset-by-adverb-1: 2
wn30:synset-human-adjective-1: 2
wn30:synset-committee-noun-1: 2
wn30:synset-procedure-noun-1: 2
wn30:synset-plan-noun-1: 2
wn30:synset-review-verb-1: 2
wn30:synset-perform-verb-1: 2
","wn30:synset-plan-noun-1 - frame:Purpose: 2
wn30:synset-perform-verb-1 - frame:Intentionally_act - frame:Event: 2
wn30:synset-plan-noun-1 - frame:Project: 2
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included: 2
wn30:synset-procedure-noun-1 - frame:Means: 2
wn30:synset-committee-noun-1 - frame:Organization - frame:Aggregate: 2
","wn30:synset-human-adjective-1: 2
wn30:synset-by-adverb-1: 2
","wn30:synset-lower-verb-1: 2
wn30:synset-follow-verb-1: 2
wn30:synset-review-verb-1: 2
wn30:synset-grade-noun-2: 2
","inferred_confious-235
inferred_confious-242
","assign paper is followed by Program Committee member Chair human performed assignment lower tier reviewing process
Senior Program Committee member is followed by human performed upper tier reviewing process checked in notification lower"
36,36,Commutative_process - Cause_to_be_included - Cause_change_of_position_on_a_scale,"added by add Person
add remove Author
Administrator added By set Max Papers Program Committee Member add",3,2,"frame:Commutative_process: 5
frame:Cause_to_be_included: 5
frame:Cause_change_of_position_on_a_scale: 5
","wn30:synset-add-verb-1: 5
wn30:synset-by-adverb-1: 2
","wn30:synset-add-verb-1 - frame:Cause_change_of_position_on_a_scale - frame:Event: 5
wn30:synset-add-verb-1 - frame:Cause_to_be_included - frame:Event: 5
wn30:synset-add-verb-1 - frame:Commutative_process: 5
","wn30:synset-by-adverb-1: 2
","wn30:synset-soap-noun-3: 1
wn30:synset-writer-noun-1: 1
wn30:synset-administrator-noun-1: 1
","inferred_Cocus-23
inferred_Cocus-220
inferred_cmt-23
","added by add Person
add remove Author
Administrator added By set Max Papers Program Committee Member add"
37,37,synset-session-noun-1,"Session has
hosts Slot has Chair is Associated To room Session
Session Lecturer give room is held in",3,3,"frame:Building_subparts: 2
","wn30:synset-session-noun-1: 3
wn30:synset-hold-verb-3: 2
wn30:synset-room-noun-1: 2
","wn30:synset-room-noun-1 - frame:Building_subparts: 2
","wn30:synset-in-adverb-1: 1
","wn30:synset-session-noun-1: 3
wn30:synset-hold-verb-3: 2
","inferred_linklings5
inferred_MyReview-214
inferred_iasted35
","Session has
hosts Slot has Chair is Associated To room Session
Session Lecturer give room is held in"
38,38,synset-fee-noun-1 - synset-registration-noun-1,"Price Registration fee
Student registration fee pay non speaker
is designed for pay Nonmember registration fee IASTED non member
Author attendee cd registration fee is paid for Cd proceening
IASTED member pay Memeber registration fee is designed for
Nonauthor registration fee is designed for Non speaker
Worker non speaker Nonauthor registration fee pay",7,2,"frame:Commerce_pay: 5
frame:Negation: 4
frame:Coming_up_with: 3
","wn30:synset-fee-noun-1: 7
wn30:synset-registration-noun-1: 7
wn30:synset-pay-verb-1: 5
wn30:synset-not-adverb-1: 4
wn30:synset-speaker-noun-1: 3
wn30:synset-plan-verb-3: 3
","wn30:synset-pay-verb-1 - frame:Commerce_pay - frame:Event: 5
wn30:synset-not-adverb-1 - frame:Negation - frame:Alternativity: 4
wn30:synset-plan-verb-3 - frame:Coming_up_with: 3
","
","wn30:synset-fee-noun-1: 7
wn30:synset-registration-noun-1: 7
","inferred_sigkdd2
inferred_iasted77
inferred_iasted76
inferred_iasted68
inferred_iasted74
inferred_iasted66
inferred_iasted67
","Price Registration fee
Student registration fee pay non speaker
is designed for pay Nonmember registration fee IASTED non member
Author attendee cd registration fee is paid for Cd proceening
IASTED member pay Memeber registration fee is designed for
Nonauthor registration fee is designed for Non speaker
Worker non speaker Nonauthor registration fee pay"
39,39,synset-award-noun-1,"Deadline Author notification obtain Award until
award Award Organizator awarded by
Author of paper student award Best Student Paper Award
Best Research Paper Award award Applications Author of paper",4,1,"frame:Using: 1
frame:Getting: 1
frame:Purpose: 1
frame:Research: 1
","wn30:synset-award-noun-1: 8
wn30:synset-paper-noun-1: 4
wn30:synset-writer-noun-1: 3
","wn30:synset-research-noun-1 - frame:Research - frame:Scrutiny: 1
wn30:synset-application-noun-1 - frame:Using - frame:Event: 1
wn30:synset-obtain-verb-1 - frame:Getting - frame:Event: 1
wn30:synset-application-noun-1 - frame:Purpose: 1
","wn30:synset-best-adjective-1: 2
","wn30:synset-award-noun-1: 8
wn30:synset-paper-noun-1: 4
","inferred_sigkdd10
inferred_sigkdd14
inferred_sigkdd17
inferred_sigkdd16
","Deadline Author notification obtain Award until
award Award Organizator awarded by
Author of paper student award Best Student Paper Award
Best Research Paper Award award Applications Author of paper"
40,40,Communication_manner - Text_creation - Statement,"Speaker spoken By Paper speaks
has tutorials Tutorial Conference volume
speak in Lecturer Session room
Plenary lecture speaker speak in Conference hall
speak in Tutorial speaker Conference hall
Conference building is situated in hall",6,3,"frame:Communication_manner: 5
frame:Text_creation: 5
frame:Statement: 5
frame:Building_subparts: 4
frame:Discussion: 4
","wn30:synset-talk-verb-2: 5
wn30:synset-conference-noun-1: 4
wn30:synset-in-adverb-1: 4
wn30:synset-speaker-noun-1: 3
wn30:synset-tutorial-noun-1: 3
wn30:synset-hallway-noun-1: 3
","wn30:synset-talk-verb-2 - frame:Text_creation - frame:Event: 5
wn30:synset-talk-verb-2 - frame:Statement: 5
wn30:synset-talk-verb-2 - frame:Communication_manner - frame:Event: 5
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 4
","wn30:synset-in-adverb-1: 4
","wn30:synset-speaker-noun-1: 3
wn30:synset-tutorial-noun-1: 3
","inferred_paperdyne6
inferred_conference-27
inferred_iasted36
inferred_iasted50
inferred_iasted54
inferred_iasted51
","Speaker spoken By Paper speaks
has tutorials Tutorial Conference volume
speak in Lecturer Session room
Plenary lecture speaker speak in Conference hall
speak in Tutorial speaker Conference hall
Conference building is situated in hall"
41,41,Submitting_documents,"Content Submission has
Paper Deadline Submission submit until Author
submit until Deadline Abstract Submission
Activity Submission Form is Member Of has Members Committee Submitted By
submission Deadline Activity Submission Form
Activity Submission Form Author is Submitted By Of has
has Submission Deadline Call Instructions
Speaker is writen by Submission",8,5,"frame:Submitting_documents: 12
frame:Intentionally_act: 3
","wn30:synset-submission-noun-1: 9
wn30:synset-deadline-noun-1: 4
wn30:synset-submit-verb-1: 3
wn30:synset-form-noun-1: 3
wn30:synset-activity-noun-1: 3
wn30:synset-by-adverb-1: 3
","wn30:synset-submission-noun-1 - frame:Submitting_documents - frame:Event: 9
wn30:synset-activity-noun-1 - frame:Intentionally_act - frame:Event: 3
wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event: 3
","wn30:synset-by-adverb-1: 3
","wn30:synset-deadline-noun-1: 4
wn30:synset-form-noun-1: 3
wn30:synset-writer-noun-1: 2
","inferred_linklings14
inferred_sigkdd11
inferred_sigkdd18
inferred_MICRO13
inferred_MICRO11
inferred_MICRO10
inferred_edas14
inferred_iasted32
","Content Submission has
Paper Deadline Submission submit until Author
submit until Deadline Abstract Submission
Activity Submission Form is Member Of has Members Committee Submitted By
submission Deadline Activity Submission Form
Activity Submission Form Author is Submitted By Of has
has Submission Deadline Call Instructions
Speaker is writen by Submission"
42,42,Event - Timespan,"Time Interval has
Time Interval Event has
is present Time One day presenter",3,2,"frame:Event: 4
frame:Timespan: 4
frame:Event_instance: 3
frame:Location_in_time: 3
","wn30:synset-time-noun-1: 3
wn30:synset-interval-noun-2: 2
","wn30:synset-time-noun-1 - frame:Timespan: 3
wn30:synset-time-noun-1 - frame:Location_in_time: 3
wn30:synset-time-noun-1 - frame:Event_instance - frame:Instance: 3
","
","wn30:synset-interval-noun-2: 2
","inferred_linklings21
inferred_linklings20
inferred_iasted21
","Time Interval has
Time Interval Event has
is present Time One day presenter"
43,43,Travel,"full paper size
ACM SIGKDD hold Conference
Trip day Delegate is designed for held in Full tour
is visited by Conference Hiker Trip city held in Full day tour
go through Full day tour Conference Hiker
Conference Hiker Fee for extra trip is paid by Full day tour
is designed for Delegate Full day tour
Conference days Registration fee activity state is paid for held in",8,3,"frame:Travel: 9
frame:Timespan: 6
frame:Calendric_unit: 6
frame:Abounding_with: 6
frame:Measure_duration: 6
frame:Fullness: 6
frame:Discussion: 5
frame:Touring: 5
frame:Activity_ongoing: 4
frame:Cause_to_continue: 4
","wn30:synset-full-adjective-1: 6
wn30:synset-day-noun-1: 6
wn30:synset-conference-noun-1: 5
wn30:synset-tour-noun-1: 5
wn30:synset-keep-verb-1: 4
wn30:synset-hiker-noun-1: 3
wn30:synset-in-adverb-1: 3
wn30:synset-trip-noun-1: 3
","wn30:synset-full-adjective-1 - frame:Fullness - frame:Attributes: 6
wn30:synset-day-noun-1 - frame:Calendric_unit - frame:Location_in_time: 6
wn30:synset-day-noun-1 - frame:Timespan: 6
wn30:synset-full-adjective-1 - frame:Abounding_with - frame:Stateframe:Relation: 6
wn30:synset-day-noun-1 - frame:Measure_duration - frame:Measures: 6
wn30:synset-tour-noun-1 - frame:Touring - frame:Perceptionframe:Event: 5
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 5
wn30:synset-tour-noun-1 - frame:Travel - frame:Event: 5
wn30:synset-keep-verb-1 - frame:Cause_to_continue - frame:Event: 4
wn30:synset-keep-verb-1 - frame:Activity_ongoing - frame:Process_continue: 4
","wn30:synset-in-adverb-1: 3
wn30:synset-by-adverb-1: 2
","wn30:synset-hiker-noun-1: 3
wn30:synset-fee-noun-1: 2
wn30:synset-delegate-verb-1: 2
","inferred_confious-244
inferred_sigkdd7
inferred_iasted43
inferred_iasted42
inferred_iasted44
inferred_iasted41
inferred_iasted45
inferred_iasted59
","full paper size
ACM SIGKDD hold Conference
Trip day Delegate is designed for held in Full tour
is visited by Conference Hiker Trip city held in Full day tour
go through Full day tour Conference Hiker
Conference Hiker Fee for extra trip is paid by Full day tour
is designed for Delegate Full day tour
Conference days Registration fee activity state is paid for held in"
44,44,Intentionally_act,"Program Comitee Chair Conflict Of Interest views managed By Rules manages visible
bidding of reviewer paper Program Committee member human is performed by concerned activity intensity has
paper Program Committee Chair human is performed by concerned article notification has result
is supervised by monitored supervises followed human performed performs activity
managing of conference process setup paper is concerned confernce
is followed by human performed Contact Person paper assignment submission process
managing of conference process is performed by performs activity Program Committee Chair
is Conducted By conducts Activity Author
is dated on Activity",9,4,"frame:Intentionally_act: 12
frame:Operating_a_system: 4
frame:Purpose: 4
frame:Emotion_directed: 4
frame:Project: 4
frame:Successful_action: 4
frame:Success_or_failure: 4
frame:Means: 3
frame:Organization: 3
","wn30:synset-by-adverb-1: 7
wn30:synset-perform-verb-1: 7
wn30:synset-activity-noun-1: 5
wn30:synset-pull_off-verb-3: 4
wn30:synset-human-adjective-1: 4
wn30:synset-paper-noun-1: 4
wn30:synset-plan-noun-1: 4
wn30:synset-chair-noun-1: 3
wn30:synset-committee-noun-1: 3
wn30:synset-concerned-adjective-1: 3
wn30:synset-procedure-noun-1: 3
","wn30:synset-perform-verb-1 - frame:Intentionally_act - frame:Event: 7
wn30:synset-activity-noun-1 - frame:Intentionally_act - frame:Event: 5
wn30:synset-pull_off-verb-3 - frame:Operating_a_system - frame:Event: 4
wn30:synset-pull_off-verb-3 - frame:Successful_action: 4
wn30:synset-plan-noun-1 - frame:Project: 4
wn30:synset-pull_off-verb-3 - frame:Success_or_failure: 4
wn30:synset-plan-noun-1 - frame:Purpose: 4
wn30:synset-concerned-adjective-1 - frame:Emotion_directed: 3
wn30:synset-committee-noun-1 - frame:Organization - frame:Aggregate: 3
wn30:synset-procedure-noun-1 - frame:Means: 3
","wn30:synset-by-adverb-1: 7
wn30:synset-human-adjective-1: 4
","wn30:synset-paper-noun-1: 4
wn30:synset-chair-noun-1: 3
wn30:synset-oversee-verb-1: 2
wn30:synset-follow-verb-1: 2
wn30:synset-conduct-verb-1: 2
","inferred_paperdyne20
inferred_confious-248
inferred_confious-249
inferred_confious-231
inferred_confious-224
inferred_confious-239
inferred_confious-227
inferred_MICRO5
inferred_iasted20
","Program Comitee Chair Conflict Of Interest views managed By Rules manages visible
bidding of reviewer paper Program Committee member human is performed by concerned activity intensity has
paper Program Committee Chair human is performed by concerned article notification has result
is supervised by monitored supervises followed human performed performs activity
managing of conference process setup paper is concerned confernce
is followed by human performed Contact Person paper assignment submission process
managing of conference process is performed by performs activity Program Committee Chair
is Conducted By conducts Activity Author
is dated on Activity"
45,45,Being_named - People - Political_locales,"Surname Country E-mail Name People Organisation
Nation E-mail Person Name
has Postal Code Surname Home Page Fax Person
Country Person has
has Country Conference",5,4,"frame:Being_named: 4
frame:People: 4
frame:Political_locales: 4
","wn30:synset-state-noun-4: 4
wn30:synset-person-noun-1: 3
wn30:synset-surname-noun-1: 2
wn30:synset-name-noun-1: 2
wn30:synset-electronic_mail-noun-1: 2
","wn30:synset-state-noun-4 - frame:Political_locales - frame:Locale: 4
wn30:synset-person-noun-1 - frame:People - frame:Entity: 3
wn30:synset-name-noun-1 - frame:Being_named: 2
wn30:synset-name-noun-1 - frame:Referring_by_name: 2
wn30:synset-surname-noun-1 - frame:Being_named: 2
","wn30:synset-postal-adjective-1: 1
","wn30:synset-electronic_mail-noun-1: 2
","inferred_OpenConf12
inferred_sigkdd3
inferred_confOf2
inferred_confOf14
inferred_edas5
","Surname Country E-mail Name People Organisation
Nation E-mail Person Name
has Postal Code Surname Home Page Fax Person
Country Person has
has Country Conference"
46,46,synset-sponsorship-noun-1,"is Provider Of provided By Sponsorship Organization
Sponsorship has Cost Currency
Sponsorship has Cost Amount",3,1,"frame:Expensiveness: 2
","wn30:synset-sponsorship-noun-1: 3
wn30:synset-cost-noun-1: 2
","wn30:synset-cost-noun-1 - frame:Expensiveness: 2
","wn30:synset-by-adverb-1: 1
","wn30:synset-sponsorship-noun-1: 3
","inferred_edas10
inferred_edas11
inferred_edas12
","is Provider Of provided By Sponsorship Organization
Sponsorship has Cost Currency
Sponsorship has Cost Amount"
