,cluster,label,docs,# communities,# onto,frequent frames,frequent synsets,frequent framesynset triplets,frequent adj/adv w/o frame,frequent noun/verb w/o frame,communities,docss
24,24,Causation - Sending,"Contact Author Alternate Email has been sent by Submitted Paper
Contact Author has sent Submitted Paper
send sent by Activity Person
User Help Request send
group email human is sent to concerned reviewing proces
has author paper Program Committee Chair Contact Person is concerned notification email sent to
has author paper is of human concerned Contact Person
Email sended by Administrator send
send Delegate Registration form is sent by",9,5,"frame:Causation: 11
frame:Sending: 11
","wn30:synset-send-verb-1: 11
wn30:synset-writer-noun-1: 4
wn30:synset-contact-noun-1: 4
wn30:synset-electronic_mail-noun-1: 4
wn30:synset-by-adverb-1: 4
wn30:synset-paper-noun-1: 4
wn30:synset-concerned-adjective-1: 3
wn30:synset-person-noun-1: 3
","wn30:synset-send-verb-1 - frame:Causation - frame:Event: 11
wn30:synset-send-verb-1 - frame:Sending: 11
wn30:synset-person-noun-1 - frame:People - frame:Entity: 3
wn30:synset-concerned-adjective-1 - frame:Emotion_directed: 3
","wn30:synset-by-adverb-1: 4
","wn30:synset-paper-noun-1: 4
wn30:synset-writer-noun-1: 4
wn30:synset-contact-noun-1: 4
wn30:synset-electronic_mail-noun-1: 4
","inferred_OpenConf7
inferred_OpenConf8
inferred_Cocus-21
inferred_Cocus-215
inferred_confious-236
inferred_confious-246
inferred_confious-243
inferred_PCS1
inferred_iasted8
","Contact Author Alternate Email has been sent by Submitted Paper
Contact Author has sent Submitted Paper
send sent by Activity Person
User Help Request send
group email human is sent to concerned reviewing proces
has author paper Program Committee Chair Contact Person is concerned notification email sent to
has author paper is of human concerned Contact Person
Email sended by Administrator send
send Delegate Registration form is sent by"
25,25,synset-fee-noun-1 - synset-registration-noun-1,"Price Registration fee
Student registration fee pay non speaker
is designed for pay Nonmember registration fee IASTED non member
Nonauthor registration fee is designed for Non speaker
Worker non speaker Nonauthor registration fee pay",5,2,"frame:Negation: 4
frame:Commerce_pay: 3
frame:Coming_up_with: 2
","wn30:synset-fee-noun-1: 5
wn30:synset-registration-noun-1: 5
wn30:synset-not-adverb-1: 4
wn30:synset-speaker-noun-1: 3
wn30:synset-pay-verb-1: 3
","wn30:synset-not-adverb-1 - frame:Negation - frame:Alternativity: 4
wn30:synset-pay-verb-1 - frame:Commerce_pay - frame:Event: 3
wn30:synset-plan-verb-3 - frame:Coming_up_with: 2
","
","wn30:synset-fee-noun-1: 5
wn30:synset-registration-noun-1: 5
wn30:synset-speaker-noun-1: 3
","inferred_sigkdd2
inferred_iasted77
inferred_iasted76
inferred_iasted66
inferred_iasted67
","Price Registration fee
Student registration fee pay non speaker
is designed for pay Nonmember registration fee IASTED non member
Nonauthor registration fee is designed for Non speaker
Worker non speaker Nonauthor registration fee pay"
26,26,Topic,"has Role Involved Panel is In Moderator Panelist
has Role Involved is In reviews
Applicant Application is Role Involved In has
Paper Author is Role Involved In has",4,1,"frame:Topic: 4
","wn30:synset-in-adverb-1: 4
wn30:synset-function-noun-3: 4
wn30:synset-involve-verb-1: 4
","wn30:synset-involve-verb-1 - frame:Topic: 4
","wn30:synset-in-adverb-1: 4
","wn30:synset-function-noun-3: 4
","inferred_linklings18
inferred_linklings9
inferred_linklings23
inferred_linklings24
","has Role Involved Panel is In Moderator Panelist
has Role Involved is In reviews
Applicant Application is Role Involved In has
Paper Author is Role Involved In has"
27,27,Speed - Frequency,"read paper rate Accepted External Reviewer
Review Rating has Rated Papers
Review Rejected Paper is Rated By Chair
Review is Rated By rates Writen write Paper Reviewer
has Assigned Paper Review is Rated By Accepted Chair Session To",5,3,"frame:Speed: 6
frame:Frequency: 6
","wn30:synset-rate-noun-1: 6
wn30:synset-paper-noun-1: 4
wn30:synset-review-verb-1: 4
wn30:synset-by-adverb-1: 3
","wn30:synset-rate-noun-1 - frame:Frequency - frame:Attributes: 6
wn30:synset-rate-noun-1 - frame:Speed - frame:Attributes: 6
","wn30:synset-by-adverb-1: 3
wn30:synset-accepted-adjectivesatellite-1: 2
","wn30:synset-paper-noun-1: 4
wn30:synset-review-verb-1: 4
","inferred_PCS6
inferred_edas16
inferred_MyReview-222
inferred_MyReview-220
inferred_MyReview-215
","read paper rate Accepted External Reviewer
Review Rating has Rated Papers
Review Rejected Paper is Rated By Chair
Review is Rated By rates Writen write Paper Reviewer
has Assigned Paper Review is Rated By Accepted Chair Session To"
28,28,Respond_to_proposal,"Program Comitee Chair accepts assigned Paper By accepted Reviewer rejected assigns To Review
Program Comitee Chair rejects Paper reviews Reviewer bids For is In Conflict With
Rejected Paper rejection notification email is concerned paper
Conference accepts Hardcopy Submissions
Paper Administrator accepted By Bid accept rejected reject has
written paper by submit reject accepted rejected write Author Paper accept Committee Member
is Chair Of accepts rejects Rejected By Paper Session Accepted",7,5,"frame:Respond_to_proposal: 17
frame:Agree_or_refuse_to_act: 9
frame:Receiving: 8
","wn30:synset-refuse-verb-2: 9
wn30:synset-accept-verb-2: 8
wn30:synset-paper-noun-1: 8
wn30:synset-by-adverb-1: 4
wn30:synset-chair-noun-1: 3
","wn30:synset-refuse-verb-2 - frame:Agree_or_refuse_to_act - frame:Respond_to_proposal: 9
wn30:synset-refuse-verb-2 - frame:Respond_to_proposal: 9
wn30:synset-accept-verb-2 - frame:Respond_to_proposal: 8
wn30:synset-accept-verb-2 - frame:Receiving - frame:Event: 8
","wn30:synset-by-adverb-1: 4
","wn30:synset-paper-noun-1: 8
wn30:synset-chair-noun-1: 3
","inferred_paperdyne9
inferred_paperdyne2
inferred_confious-251
inferred_cmt-222
inferred_cmt-26
inferred_PCS16
inferred_MyReview-223
","Program Comitee Chair accepts assigned Paper By accepted Reviewer rejected assigns To Review
Program Comitee Chair rejects Paper reviews Reviewer bids For is In Conflict With
Rejected Paper rejection notification email is concerned paper
Conference accepts Hardcopy Submissions
Paper Administrator accepted By Bid accept rejected reject has
written paper by submit reject accepted rejected write Author Paper accept Committee Member
is Chair Of accepts rejects Rejected By Paper Session Accepted"
29,29,Submitting_documents,"Paper submited by Corresponding Author
Speaker Deadline presentationed by Document submit until presentation
Paper Deadline Submission submit until Author
submit until Deadline Abstract Submission
submission Deadline Activity Submission Form
Activity Submission Form Author is Submitted By Of has
has Submission Deadline Call Instructions
Paper Abstract Contact Author has submits Email abstract Is Submitted By is Of
Author paper Is Submitted By submits Paper write
Speaker is writen by Submission",10,6,"frame:Submitting_documents: 16
","wn30:synset-submit-verb-1: 9
wn30:synset-submission-noun-1: 7
wn30:synset-by-adverb-1: 6
wn30:synset-deadline-noun-1: 5
wn30:synset-paper-noun-1: 5
wn30:synset-writer-noun-1: 5
","wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event: 9
wn30:synset-submission-noun-1 - frame:Submitting_documents - frame:Event: 7
","wn30:synset-by-adverb-1: 6
","wn30:synset-deadline-noun-1: 5
wn30:synset-paper-noun-1: 5
wn30:synset-writer-noun-1: 5
","inferred_Cocus-222
inferred_sigkdd15
inferred_sigkdd11
inferred_sigkdd18
inferred_MICRO11
inferred_MICRO10
inferred_edas14
inferred_MyReview-229
inferred_MyReview-23
inferred_iasted32
","Paper submited by Corresponding Author
Speaker Deadline presentationed by Document submit until presentation
Paper Deadline Submission submit until Author
submit until Deadline Abstract Submission
submission Deadline Activity Submission Form
Activity Submission Form Author is Submitted By Of has
has Submission Deadline Call Instructions
Paper Abstract Contact Author has submits Email abstract Is Submitted By is Of
Author paper Is Submitted By submits Paper write
Speaker is writen by Submission"
30,30,synset-award-noun-1,"Deadline Author notification obtain Award until
award Award Organizator awarded by
Author of paper student award Best Student Paper Award
Best Research Paper Award award Applications Author of paper",4,1,"frame:Using: 1
frame:Research: 1
frame:Getting: 1
frame:Purpose: 1
","wn30:synset-award-noun-1: 8
wn30:synset-paper-noun-1: 4
wn30:synset-writer-noun-1: 3
","wn30:synset-application-noun-1 - frame:Purpose: 1
wn30:synset-obtain-verb-1 - frame:Getting - frame:Event: 1
wn30:synset-application-noun-1 - frame:Using - frame:Event: 1
wn30:synset-research-noun-1 - frame:Research - frame:Scrutiny: 1
","wn30:synset-best-adjective-1: 2
","wn30:synset-award-noun-1: 8
wn30:synset-paper-noun-1: 4
","inferred_sigkdd10
inferred_sigkdd14
inferred_sigkdd17
inferred_sigkdd16
","Deadline Author notification obtain Award until
award Award Organizator awarded by
Author of paper student award Best Student Paper Award
Best Research Paper Award award Applications Author of paper"
31,31,Locale - Event,"Title Paper Keywords
location has title Working event
default Choice Social event Working
Social event location has title
location Of held In Event Location",5,3,"frame:Locale: 4
frame:Event: 4
frame:Social_interaction_evaluation: 2
","wn30:synset-event-noun-1: 4
wn30:synset-location-noun-1: 4
wn30:synset-title-noun-1: 3
wn30:synset-social-adjective-1: 2
","wn30:synset-event-noun-1 - frame:Event - frame:State: 4
wn30:synset-location-noun-1 - frame:Locale - frame:Locale: 4
wn30:synset-social-adjective-1 - frame:Social_interaction_evaluation - frame:Attributes: 2
","wn30:synset-in-adverb-1: 1
wn30:synset-working-adjectivesatellite-1: 1
","wn30:synset-title-noun-1: 3
","inferred_OpenConf15
inferred_confOf7
inferred_confOf6
inferred_confOf4
inferred_ekaw15
","Title Paper Keywords
location has title Working event
default Choice Social event Working
Social event location has title
location Of held In Event Location"
32,32,Commerce_pay,"payed by Registration fee Currency Person pay
Sponzor fee pay
Sponsor is paid by give Sponzorship
Money pay Person has amount of Building is paid with in Item by
Author attendee cd registration fee is paid for Cd proceening
IASTED member pay Memeber registration fee is designed for
is paid by Delegate pay Registration fee",7,2,"frame:Commerce_pay: 11
frame:People: 3
","wn30:synset-pay-verb-1: 10
wn30:synset-fee-noun-1: 5
wn30:synset-registration-noun-1: 4
wn30:synset-by-adverb-1: 4
","wn30:synset-pay-verb-1 - frame:Commerce_pay - frame:Event: 10
","wn30:synset-by-adverb-1: 4
","wn30:synset-fee-noun-1: 5
wn30:synset-registration-noun-1: 4
wn30:synset-compact_disk-noun-1: 2
","inferred_sigkdd1
inferred_sigkdd9
inferred_iasted38
inferred_iasted22
inferred_iasted68
inferred_iasted74
inferred_iasted2
","payed by Registration fee Currency Person pay
Sponzor fee pay
Sponsor is paid by give Sponzorship
Money pay Person has amount of Building is paid with in Item by
Author attendee cd registration fee is paid for Cd proceening
IASTED member pay Memeber registration fee is designed for
is paid by Delegate pay Registration fee"
33,33,Discussion,"Conference www has a URL
URL conference setup sets is concerned confernce
conference setup sets RPC URL Regular Reviewer
conference setup Senior Reviewer URL sets SPC
sets date of notification conference setup
conference setup Contact Person URL sets CP
is concerned confernce setup conference sets date
conference setup sets Chair URL",8,2,"frame:Discussion: 8
frame:Causation: 7
frame:Gizmo: 7
frame:Placing: 7
","wn30:synset-conference-noun-1: 8
wn30:synset-apparatus-noun-1: 7
wn30:synset-put-verb-1: 7
wn30:synset-URL-noun-1: 6
","wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 8
wn30:synset-put-verb-1 - frame:Placing - frame:Event: 7
wn30:synset-apparatus-noun-1 - frame:Gizmo: 7
wn30:synset-put-verb-1 - frame:Causation - frame:Event: 7
","wn30:synset-regular-adjective-1: 1
","wn30:synset-URL-noun-1: 6
wn30:synset-reviewer-noun-1: 2
wn30:synset-date-noun-1: 2
","inferred_conference-221
inferred_confious-221
inferred_confious-24
inferred_confious-25
inferred_confious-26
inferred_confious-23
inferred_confious-222
inferred_confious-22
","Conference www has a URL
URL conference setup sets is concerned confernce
conference setup sets RPC URL Regular Reviewer
conference setup Senior Reviewer URL sets SPC
sets date of notification conference setup
conference setup Contact Person URL sets CP
is concerned confernce setup conference sets date
conference setup sets Chair URL"
34,34,Project - Purpose,"has Session Chair Program Assigned Conference
Session has
program has session
participant conference has program submits to",4,2,"frame:Project: 3
frame:Purpose: 3
frame:Discussion: 2
","wn30:synset-plan-noun-1: 3
wn30:synset-session-noun-1: 3
wn30:synset-conference-noun-1: 2
","wn30:synset-plan-noun-1 - frame:Purpose: 3
wn30:synset-plan-noun-1 - frame:Project: 3
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 2
","wn30:synset-assigned-adjective-1: 1
","wn30:synset-session-noun-1: 3
","inferred_linklings22
inferred_linklings5
inferred_crs_dr5
inferred_crs_dr7
","has Session Chair Program Assigned Conference
Session has
program has session
participant conference has program submits to"
35,35,People - Recording - Becoming_aware,"Account registred by Person register
Administrator registers has Person Assigned Admin Registered Role
Basic User has Person Assigned Role Self Registered",3,2,"frame:People: 3
frame:Recording: 3
frame:Becoming_aware: 3
","wn30:synset-person-noun-1: 3
wn30:synset-register-verb-1: 3
wn30:synset-function-noun-3: 2
","wn30:synset-register-verb-1 - frame:Becoming_aware - frame:Perception: 3
wn30:synset-person-noun-1 - frame:People - frame:Entity: 3
wn30:synset-register-verb-1 - frame:Recording - frame:Statement: 3
","wn30:synset-registered-adjective-2: 1
wn30:synset-by-adverb-1: 1
wn30:synset-assigned-adjective-1: 1
","wn30:synset-function-noun-3: 2
","inferred_Cocus-22
inferred_linklings10
inferred_linklings25
","Account registred by Person register
Administrator registers has Person Assigned Admin Registered Role
Basic User has Person Assigned Role Self Registered"
36,36,synset-busy-verb-1,"Sponsor occupy company house is occupied by
is situated in Sponsor state company house occupy
Sponsor city is occupied by company house situated in occupy",3,1,"frame:Buildings: 3
frame:Businesses: 3
","wn30:synset-busy-verb-1: 5
wn30:synset-company-noun-1: 3
wn30:synset-house-noun-1: 3
wn30:synset-sponsor-verb-1: 3
","wn30:synset-company-noun-1 - frame:Businesses: 3
wn30:synset-house-noun-1 - frame:Buildings - frame:Entity: 3
","wn30:synset-in-adverb-1: 2
wn30:synset-by-adverb-1: 2
","wn30:synset-busy-verb-1: 5
","inferred_iasted39
inferred_iasted40
inferred_iasted37
","Sponsor occupy company house is occupied by
is situated in Sponsor state company house occupy
Sponsor city is occupied by company house situated in occupy"
37,37,Execution,"execute Event Approval Email Administrator has result
execute Event Creation has result Author
User has result Registration
Reviewer Double Blind Review executes is Executed By",4,2,"frame:Execution: 4
frame:Causation: 3
frame:Being_in_effect: 3
frame:Objective_influence: 3
","wn30:synset-execute-verb-1: 4
wn30:synset-consequence-noun-1: 3
wn30:synset-event-noun-1: 2
","wn30:synset-execute-verb-1 - frame:Execution - frame:Event: 4
wn30:synset-consequence-noun-1 - frame:Causation - frame:Event: 3
wn30:synset-consequence-noun-1 - frame:Being_in_effect: 3
wn30:synset-consequence-noun-1 - frame:Objective_influence - frame:Event: 3
","wn30:synset-blind-adjective-1: 1
wn30:synset-by-adverb-1: 1
","wn30:synset-administrator-noun-1: 1
wn30:synset-double-noun-1: 1
wn30:synset-blessing-noun-1: 1
wn30:synset-registration-noun-1: 1
wn30:synset-reviewer-noun-1: 1
wn30:synset-writer-noun-1: 1
wn30:synset-electronic_mail-noun-1: 1
wn30:synset-user-noun-1: 1
wn30:synset-review-verb-1: 1
","inferred_Cocus-218
inferred_Cocus-221
inferred_Cocus-216
inferred_MICRO9
","execute Event Approval Email Administrator has result
execute Event Creation has result Author
User has result Registration
Reviewer Double Blind Review executes is Executed By"
38,38,Event,"Time Interval has
Time Interval Event has
has Start Date Time End Conference Event",3,2,"frame:Event: 5
frame:Timespan: 3
frame:Event_instance: 3
frame:Location_in_time: 3
","wn30:synset-time-noun-1: 3
wn30:synset-interval-noun-2: 2
wn30:synset-event-noun-1: 2
","wn30:synset-time-noun-1 - frame:Timespan: 3
wn30:synset-time-noun-1 - frame:Location_in_time: 3
wn30:synset-time-noun-1 - frame:Event_instance - frame:Instance: 3
wn30:synset-event-noun-1 - frame:Event - frame:State: 2
","
","wn30:synset-interval-noun-2: 2
","inferred_linklings21
inferred_linklings20
inferred_edas7
","Time Interval has
Time Interval Event has
has Start Date Time End Conference Event"
39,39,Inclusion - Cause_to_be_included,"includes PC Members List Proceedings
cooperates Reviewer External
Index Of Authors includes Proceedings
includes External Reviewers List Proceedings
includes Accepted Paper Proceedings
Cd proceening obtain Author cd proceedings included",6,2,"frame:Inclusion: 5
frame:Cause_to_be_included: 5
","wn30:synset-include-verb-1: 5
wn30:synset-proceeding-noun-1: 5
wn30:synset-compact_disk-noun-1: 2
wn30:synset-external-adjective-1: 2
wn30:synset-writer-noun-1: 2
wn30:synset-list-noun-1: 2
","wn30:synset-include-verb-1 - frame:Cause_to_be_included - frame:Event: 5
wn30:synset-include-verb-1 - frame:Inclusion: 5
","wn30:synset-external-adjective-1: 2
","wn30:synset-proceeding-noun-1: 5
wn30:synset-compact_disk-noun-1: 2
wn30:synset-writer-noun-1: 2
","inferred_MyReview-228
inferred_MyReview-22
inferred_MyReview-227
inferred_MyReview-226
inferred_MyReview-225
inferred_iasted69
","includes PC Members List Proceedings
cooperates Reviewer External
Index Of Authors includes Proceedings
includes External Reviewers List Proceedings
includes Accepted Paper Proceedings
Cd proceening obtain Author cd proceedings included"
40,40,Using,"Person used by Template
User recieve use used by created Document Person
Organization Person employed By
is used by Transport vehicle Delegate",4,3,"frame:Using: 5
frame:People: 3
","wn30:synset-use-verb-1: 5
wn30:synset-by-adverb-1: 4
wn30:synset-person-noun-1: 3
","wn30:synset-use-verb-1 - frame:Using - frame:Event: 5
wn30:synset-person-noun-1 - frame:People - frame:Entity: 3
","wn30:synset-by-adverb-1: 4
","wn30:synset-template-noun-1: 1
wn30:synset-transport-verb-1: 1
wn30:synset-user-noun-1: 1
wn30:synset-delegate-verb-1: 1
","inferred_Cocus-26
inferred_Cocus-213
inferred_confOf15
inferred_iasted10
","Person used by Template
User recieve use used by created Document Person
Organization Person employed By
is used by Transport vehicle Delegate"
41,41,Activity_ready_state,"conference setup end date of camera-ready submission sets camera ready
start date of camera-ready submission conference setup sets camera ready
Camera Ready Paper Conference Participant written By
Accepted Paper Camera Ready updated Version Of",4,2,"frame:Activity_ready_state: 6
frame:Discussion: 3
frame:Causation: 2
frame:Gizmo: 2
frame:Placing: 2
frame:Submitting_documents: 2
","wn30:synset-camera-noun-1: 6
wn30:synset-ready-adjective-1: 6
wn30:synset-conference-noun-1: 3
","wn30:synset-ready-adjective-1 - frame:Activity_ready_state - frame:State: 6
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 3
wn30:synset-submission-noun-1 - frame:Submitting_documents - frame:Event: 2
wn30:synset-put-verb-1 - frame:Placing - frame:Event: 2
wn30:synset-apparatus-noun-1 - frame:Gizmo: 2
wn30:synset-put-verb-1 - frame:Causation - frame:Event: 2
","wn30:synset-accepted-adjectivesatellite-1: 1
wn30:synset-by-adverb-1: 1
","wn30:synset-camera-noun-1: 6
","inferred_confious-28
inferred_confious-228
inferred_ekaw12
inferred_ekaw11
","conference setup end date of camera-ready submission sets camera ready
start date of camera-ready submission conference setup sets camera ready
Camera Ready Paper Conference Participant written By
Accepted Paper Camera Ready updated Version Of"
42,42,Causation - Placing,"has Program Assigned is Type Of Content registers Reviewed Registered By Setting For Session Set Submission Status
Role Settings is Set By Administrator sets Setting
sets Setting has Settings
is Set By sets Setting Administrator Submission Feature Settings
is Setting For Submission Feature Settings has Type
has Submission Status sets is Set By
Role Settings has Setting is For",7,1,"frame:Causation: 14
frame:Placing: 14
","wn30:synset-put-verb-1: 14
wn30:synset-setting-noun-1: 5
wn30:synset-by-adverb-1: 4
wn30:synset-submission-noun-1: 4
","wn30:synset-put-verb-1 - frame:Placing - frame:Event: 14
wn30:synset-put-verb-1 - frame:Causation - frame:Event: 14
","wn30:synset-by-adverb-1: 4
","wn30:synset-setting-noun-1: 5
wn30:synset-administrator-noun-1: 2
wn30:synset-feature-noun-1: 2
wn30:synset-function-noun-3: 2
","inferred_linklings1
inferred_linklings17
inferred_linklings4
inferred_linklings16
inferred_linklings15
inferred_linklings2
inferred_linklings11
","has Program Assigned is Type Of Content registers Reviewed Registered By Setting For Session Set Submission Status
Role Settings is Set By Administrator sets Setting
sets Setting has Settings
is Set By sets Setting Administrator Submission Feature Settings
is Setting For Submission Feature Settings has Type
has Submission Status sets is Set By
Role Settings has Setting is For"
43,43,Locale,"Conference logo URL site
Web Site Conference",2,2,"frame:Locale: 6
","wn30:synset-site-noun-1: 2
wn30:synset-conference-noun-1: 2
","wn30:synset-site-noun-1 - frame:Locale_by_event - frame:Locale: 2
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 2
wn30:synset-site-noun-1 - frame:Locale_by_use - frame:Locale: 2
wn30:synset-site-noun-1 - frame:Locale - frame:Locale: 2
","
","wn30:synset-URL-noun-1: 1
wn30:synset-logo-noun-1: 1
wn30:synset-web-noun-1: 1
","inferred_cmt-25
inferred_PCS15
","Conference logo URL site
Web Site Conference"
44,44,Referring_by_name - Being_named,"has Name Conference Acronym Email Person
has Room Name
Conference has Name Theme
Paper Conference name title
Conference Name of conference ACM SIGKDD holded by City
search searched by Name of sponsor ACM SIGKDD Sponzor
has Email Conference Program is Of Acronym Name",7,5,"frame:Referring_by_name: 7
frame:Being_named: 7
frame:Discussion: 6
frame:Seeking: 4
","wn30:synset-name-noun-1: 7
wn30:synset-conference-noun-1: 6
wn30:synset-by-adverb-1: 2
wn30:synset-acronym-noun-1: 2
wn30:synset-electronic_mail-noun-1: 2
wn30:synset-search-verb-1: 2
","wn30:synset-name-noun-1 - frame:Being_named: 7
wn30:synset-name-noun-1 - frame:Referring_by_name: 7
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 6
","wn30:synset-by-adverb-1: 2
","wn30:synset-acronym-noun-1: 2
wn30:synset-electronic_mail-noun-1: 2
","inferred_paperdyne21
inferred_linklings8
inferred_linklings7
inferred_cmt-218
inferred_sigkdd12
inferred_sigkdd8
inferred_MyReview-210
","has Name Conference Acronym Email Person
has Room Name
Conference has Name Theme
Paper Conference name title
Conference Name of conference ACM SIGKDD holded by City
search searched by Name of sponsor ACM SIGKDD Sponzor
has Email Conference Program is Of Acronym Name"
45,45,Project - Purpose,"Program Comitee Chair discusses Paper member Of Reviewer has Members head discussed By
Comments for Program Committee Paper Review Author
has a program committee Program was of Conference volume
member Of Program Committee Member has
Conference reviews Per Paper Program Committee Member max Papers
end Review Program Committee Chair
Activity Submission Form is Member Of has Members Committee Submitted By
has Member Program Committee Research Topic is Assigned By Administrator
has Member Program Committee Chair is Of
Program Committee Member has Password Email",10,6,"frame:Project: 10
frame:Purpose: 10
frame:Membership: 9
frame:Organization: 9
","wn30:synset-plan-noun-1: 10
wn30:synset-member-noun-1: 9
wn30:synset-committee-noun-1: 9
wn30:synset-chair-noun-1: 3
wn30:synset-by-adverb-1: 3
wn30:synset-paper-noun-1: 3
wn30:synset-review-verb-1: 3
","wn30:synset-plan-noun-1 - frame:Purpose: 10
wn30:synset-plan-noun-1 - frame:Project: 10
wn30:synset-committee-noun-1 - frame:Organization - frame:Aggregate: 9
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included: 9
","wn30:synset-by-adverb-1: 3
","wn30:synset-paper-noun-1: 3
wn30:synset-review-verb-1: 3
wn30:synset-chair-noun-1: 3
","inferred_paperdyne10
inferred_OpenConf2
inferred_conference-24
inferred_cmt-24
inferred_cmt-221
inferred_cmt-215
inferred_MICRO13
inferred_MyReview-219
inferred_MyReview-216
inferred_MyReview-217
","Program Comitee Chair discusses Paper member Of Reviewer has Members head discussed By
Comments for Program Committee Paper Review Author
has a program committee Program was of Conference volume
member Of Program Committee Member has
Conference reviews Per Paper Program Committee Member max Papers
end Review Program Committee Chair
Activity Submission Form is Member Of has Members Committee Submitted By
has Member Program Committee Research Topic is Assigned By Administrator
has Member Program Committee Chair is Of
Program Committee Member has Password Email"
46,46,Discussion,"Discussion Program Comitee Chair takes Place Location Meeting organises Conference contains
takes Place Location Conference
Organisation technically Organises",3,3,"frame:Discussion: 3
frame:Causation: 2
frame:Placing: 2
frame:Have_as_requirement: 2
frame:Locale: 2
frame:Taking_time: 2
","wn30:synset-take-verb-2: 2
wn30:synset-organize-verb-4: 2
wn30:synset-put-verb-1: 2
wn30:synset-location-noun-1: 2
wn30:synset-conference-noun-1: 2
","wn30:synset-take-verb-2 - frame:Have_as_requirement - frame:Contingency: 2
wn30:synset-take-verb-2 - frame:Taking_time - frame:Attributes: 2
wn30:synset-put-verb-1 - frame:Placing - frame:Event: 2
wn30:synset-location-noun-1 - frame:Locale - frame:Locale: 2
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 2
wn30:synset-put-verb-1 - frame:Causation - frame:Event: 2
","wn30:synset-technically-adverb-2: 1
","wn30:synset-organize-verb-4: 2
","inferred_paperdyne19
inferred_MICRO2
inferred_ekaw3
","Discussion Program Comitee Chair takes Place Location Meeting organises Conference contains
takes Place Location Conference
Organisation technically Organises"
47,47,Project - Purpose - Discussion,"Conference Program Slot forms
Conference Program Slot consists Of",2,1,"frame:Project: 2
frame:Purpose: 2
frame:Discussion: 2
","wn30:synset-slot-noun-1: 2
wn30:synset-plan-noun-1: 2
wn30:synset-conference-noun-1: 2
","wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 2
wn30:synset-plan-noun-1 - frame:Purpose: 2
wn30:synset-plan-noun-1 - frame:Project: 2
","
","wn30:synset-slot-noun-1: 2
","inferred_MyReview-212
inferred_MyReview-211
","Conference Program Slot forms
Conference Program Slot consists Of"
48,48,Creating,"Review creates Paper Reviewer judges created By
Author creates changed By covered covers Paper speaks Conference Contribution Topic focuses On changes created
User created by Event take part in Person
Chair produces Output Document is Produced By
program chair creates
chair reviewer program created by assigns reviewers to article",6,4,"frame:Creating: 9
frame:Coming_up_with: 7
frame:Cause_to_start: 7
frame:Intentionally_create: 7
frame:Building: 7
","wn30:synset-make-verb-3: 7
wn30:synset-by-adverb-1: 5
wn30:synset-chair-noun-1: 3
wn30:synset-reviewer-noun-1: 3
wn30:synset-change-verb-1: 2
wn30:synset-plan-noun-1: 2
wn30:synset-cover-verb-1: 2
wn30:synset-produce-verb-1: 2
wn30:synset-paper-noun-1: 2
","wn30:synset-make-verb-3 - frame:Creating - frame:Event: 7
wn30:synset-make-verb-3 - frame:Building - frame:Event: 7
wn30:synset-make-verb-3 - frame:Intentionally_create - frame:Event: 7
wn30:synset-make-verb-3 - frame:Cause_to_start - frame:Event: 7
wn30:synset-make-verb-3 - frame:Coming_up_with: 7
","wn30:synset-by-adverb-1: 5
","wn30:synset-reviewer-noun-1: 3
wn30:synset-chair-noun-1: 3
wn30:synset-paper-noun-1: 2
","inferred_paperdyne4
inferred_paperdyne18
inferred_Cocus-28
inferred_MyReview-224
inferred_crs_dr4
inferred_crs_dr3
","Review creates Paper Reviewer judges created By
Author creates changed By covered covers Paper speaks Conference Contribution Topic focuses On changes created
User created by Event take part in Person
Chair produces Output Document is Produced By
program chair creates
chair reviewer program created by assigns reviewers to article"
49,49,Membership,"Web address Member
Committee was a member of has members
Conference Member member Of has
Conference Member has conference member of
is Member Of has Members Conference Committee Organizing Organized By",5,5,"frame:Membership: 9
","wn30:synset-member-noun-1: 9
wn30:synset-conference-noun-1: 4
","wn30:synset-member-noun-1 - frame:Membership - frame:Being_included: 9
","wn30:synset-by-adverb-1: 1
wn30:synset-organized-adjective-1: 1
","wn30:synset-angstrom-noun-1: 1
wn30:synset-address-noun-1: 1
wn30:synset-web-noun-1: 1
","inferred_OpenConf13
inferred_conference-215
inferred_cmt-22
inferred_PCS11
inferred_MICRO3
","Web address Member
Committee was a member of has members
Conference Member member Of has
Conference Member has conference member of
is Member Of has Members Conference Committee Organizing Organized By"
